"OBJECTID";"carr_way_n";"road_id";"road_name";"start_name";"end_name";"location";"latest";"count_date";"peak_hour";"count_dura";"adt";"peaktraffi";"pccar";"pclcv";"pcmcv";"pchcvi";"pchcvii";"pcbus";"pcheavy";"NZTMX";"NZTMY"
"        32";"      1618";"     70028";"AWHITU RD";"TE TORO RD";"KOHEKOHE-KARIOITAHI RD";"      9118";"No";"1997-03-09T00:00:00.000Z";"                                                                                ";"                                                                                ";"      1043";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";" 1748864.366200000047684";" 5883785.808000000193715"
"        33";"      1618";"     70028";"AWHITU RD";"TE TORO RD";"KOHEKOHE-KARIOITAHI RD";"      9834";"No";"2003-06-17T00:00:00.000Z";"                                                                                ";"                                                                                ";"      1212";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";" 1748365.733999999938533";" 5883397.462700000032783"
"        34";"      1618";"     70028";"AWHITU RD";"TE TORO RD";"KOHEKOHE-KARIOITAHI RD";"     10118";"No";"2000-10-13T00:00:00.000Z";"                                                                                ";"                                                                                ";"      1160";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";" 1748116.515499999979511";" 5883261.252299999818206"
"        35";"      1618";"     70028";"AWHITU RD";"TE TORO RD";"KOHEKOHE-KARIOITAHI RD";"     10118";"No";"2000-12-09T00:00:00.000Z";"                                                                                ";"                                                                                ";"      1080";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";" 1748116.515499999979511";" 5883261.252299999818206"
"        36";"      1618";"     70028";"AWHITU RD";"TE TORO RD";"KOHEKOHE-KARIOITAHI RD";"     10034";"No";"2002-01-08T00:00:00.000Z";"15:00";"                                                                                ";"      1259";"103";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";" 1748190.227999999886379";" 5883301.539900000207126"
"        37";"      1618";"     70028";"AWHITU RD";"TE TORO RD";"KOHEKOHE-KARIOITAHI RD";"     10034";"No";"2004-10-08T00:00:00.000Z";"07:00";"                                                                                ";"      1210";"128";"0";"95";"3";"1";"                                                                                ";"0";"4";" 1748190.227999999886379";" 5883301.539900000207126"
"        38";"      1618";"     70028";"AWHITU RD";"TE TORO RD";"KOHEKOHE-KARIOITAHI RD";"     10488";"No";"2011-05-25T00:00:00.000Z";"1700";"                                                                                ";"      1210";"137";"0";"95";"3";"1";"                                                                                ";"0";"4";" 1747791.829499999992549";" 5883083.795199999585748"
"        39";"      1619";"     70028";"AWHITU RD";"KOHEKOHE-KARIOITAHI RD";"COOPER RD";"     12038";"No";"2004-06-03T00:00:00.000Z";"17:00";"                                                                                ";"      1063";"113";"91";"0";"0";"9";"0";"0";"9";" 1746447.517500000074506";" 5882841.668300000019372"
"        40";"      1627";"     70028";"AWHITU RD";"WEST COAST RD";"FIELDING RD (SIGN)";"     23199";"No";"1993-06-14T00:00:00.000Z";"                                                                                ";"                                                                                ";"      1154";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";" 1743162.905299999983981";" 5889527.692200000397861"
"        41";"      1627";"     70028";"AWHITU RD";"WEST COAST RD";"FIELDING RD (SIGN)";"     23199";"Yes";"1997-02-16T00:00:00.000Z";"                                                                                ";"                                                                                ";"       858";"                                                                                ";"81";"9";"3";"4";"3";"0";"10";" 1743162.905299999983981";" 5889527.692200000397861"
"        42";"        64";"     70028";"AWHITU RD";"TINDALL RD";"KEMP RD";"     25478";"No";"2012-03-22T00:00:00.000Z";"1200";"                                                                                ";"       957";"117";"93";"3";"4";"0";"0";"0";"4";" 1742814.230299999937415";" 5891000.230899999849498"
"        43";"        64";"     70028";"AWHITU RD";"TINDALL RD";"KEMP RD";"     25287";"No";"2005-04-13T00:00:00.000Z";"08:00";"                                                                                ";"       984";"105";"92";"4";"3";"1";"0";"0";"4";" 1742717.100499999942258";" 5890836.250599999912083"
"        44";"        64";"     70028";"AWHITU RD";"TINDALL RD";"KEMP RD";"     25327";"No";"1997-12-16T00:00:00.000Z";"                                                                                ";"                                                                                ";"       963";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"2";" 1742737.441799999913201";" 5890870.592100000008941"
"        45";"        64";"     70028";"AWHITU RD";"TINDALL RD";"KEMP RD";"     25287";"No";"2007-03-13T00:00:00.000Z";"13:00";"                                                                                ";"      1053";"146";"91";"4";"3";"1";"1";"0";"5";" 1742717.100499999942258";" 5890836.250599999912083"
"        46";"        64";"     70028";"AWHITU RD";"TINDALL RD";"KEMP RD";"     25287";"No";"2006-03-16T00:00:00.000Z";"16:00";"                                                                                ";"      1049";"132";"92";"4";"3";"1";"0";"0";"4";" 1742717.100499999942258";" 5890836.250599999912083"
"        47";"        64";"     70028";"AWHITU RD";"TINDALL RD";"KEMP RD";"     25327";"No";"2004-04-13T00:00:00.000Z";"14:00";"                                                                                ";"      1180";"154";"91";"4";"3";"1";"1";"0";"5";" 1742737.441799999913201";" 5890870.592100000008941"
"        48";"        64";"     70028";"AWHITU RD";"TINDALL RD";"KEMP RD";"     25351";"No";"2008-03-13T00:00:00.000Z";"12:00";"                                                                                ";"      1069";"159";"91";"5";"3";"1";"0";"0";"4";" 1742749.646600000094622";" 5890891.196899999864399"
"        49";"        64";"     70028";"AWHITU RD";"TINDALL RD";"KEMP RD";"     25313";"No";"2009-03-22T00:00:00.000Z";"08:00";"                                                                                ";"       988";"101";"89";"5";"4";"1";"1";"0";"6";" 1742730.322300000116229";" 5890858.572599999606609"
"        50";"        64";"     70028";"AWHITU RD";"TINDALL RD";"KEMP RD";"     25343";"No";"2010-03-30T00:00:00.000Z";"1500";"7D";"       984";"161";"86";"7";"4";"2";"1";"0";"7";" 1742745.578299999935552";" 5890884.328599999658763"
